team_id,lineup_pos,name,team,position,bye_week,fantasy_points,projected_fantasy_points
7,K,Brandon Aubrey,Dal,K,7,21.00,8.68
7,DEF,Philadelphia,Phi,DEF,5,3.00,5.86
8,QB,Joe Burrow,Cin,QB,12,8.06,19.26
8,WR,Amon-Ra St. Brown,Det,WR,5,–,18.53
8,WR,Drake London,Atl,WR,12,3.50,14.70
8,RB,Rachaad White,TB,RB,11,16.60,13.88
8,RB,James Conner,Ari,RB,11,19.30,13.23
8,TE,David Njoku,Cle,TE,10,8.40,10.49
8,W/R/T,Deebo Samuel Sr.,SF,WR,9,–,13.30
8,BN,Tua Tagovailoa,Mia,QB,6,18.62,17.96
8,BN,Tony Pollard,Ten,RB,5,18.40,10.03
8,BN,Jordan Addison,Min,WR,6,6.50,12.20
8,BN,Josh Downs,Ind,WR,14,0.00,0.00
8,BN,Gabe Davis,Jax,WR,12,9.20,9.62
8,BN,Isaiah Likely,Bal,TE,14,26.10,5.53
8,K,Jason Sanders,Mia,K,6,10.00,8.66
8,DEF,Baltimore,Bal,DEF,14,4.00,5.82
10,QB,Anthony Richardson,Ind,QB,14,27.08,19.31
10,WR,A.J. Brown,Phi,WR,5,22.90,16.92
10,WR,Michael Pittman Jr.,Ind,WR,14,7.10,13.01
10,RB,Kyren Williams,LAR,RB,6,–,14.56
10,RB,Tyjae Spears,Ten,RB,5,7.20,9.96
10,TE,Sam LaPorta,Det,TE,5,–,14.62
10,W/R/T,Jayden Reed,GB,WR,10,33.10,12.14
10,BN,George Pickens,Pit,WR,9,13.50,12.03
10,BN,Mike Williams,NYJ,WR,12,–,7.26
10,BN,Kirk Cousins,Atl,QB,12,8.20,15.35
10,BN,Matthew Stafford,LAR,QB,6,–,17.52
10,BN,Noah Fant,Sea,TE,10,3.10,8.21
10,BN,Tyler Allgeier,Atl,RB,12,2.10,6.12
10,IR,Jonathon Brooks,Car,RB,11,0.00,0.00
10,K,Justin Tucker,Bal,K,14,8.00,8.69
10,DEF,San Francisco,SF,DEF,9,–,7.64
11,QB,Jared Goff,Det,QB,5,–,18.70
11,WR,Garrett Wilson,NYJ,WR,12,–,15.35
11,WR,Rashee Rice,KC,WR,6,17.30,15.72
11,RB,Saquon Barkley,Phi,RB,5,33.20,15.08
11,RB,Jerome Ford,Cle,RB,10,12.30,12.61
11,TE,Evan Engram,Jax,TE,12,1.50,10.91
11,W/R/T,DK Metcalf,Sea,WR,10,5.90,13.62
11,BN,Amari Cooper,Cle,WR,10,3.60,13.17
11,BN,Brock Purdy,SF,QB,9,–,17.17
11,BN,Devin Singletary,NYG,RB,11,9.20,11.62
11,BN,Diontae Johnson,Car,WR,11,3.90,11.57
11,BN,Ezekiel Elliott,Dal,RB,7,12.90,8.89
11,BN,Ben Sinnott,Was,TE,14,0.00,4.10
11,K,Cameron Dicker,LAC,K,5,12.00,8.32
11,DEF,Los Angeles,LAC,DEF,5,14.00,7.04
12,QB,Jordan Love,GB,QB,10,17.40,18.00
12,WR,DJ Moore,Chi,WR,7,10.00,13.24
12,WR,Puka Nacua,LAR,WR,6,–,16.15
12,RB,Jahmyr Gibbs,Det,RB,5,–,15.88
12,RB,Aaron Jones,Min,RB,6,18.90,11.92
12,TE,Dalton Kincaid,Buf,TE,12,2.10,12.21
12,W/R/T,Raheem Mostert,Mia,RB,6,3.90,10.77
12,BN,Jameson Williams,Det,WR,5,–,9.81
12,BN,Christian Watson,GB,WR,10,10.30,10.31
12,BN,Dontayvion Wicks,GB,WR,10,0.00,7.71
12,BN,Cole Kmet,Chi,TE,7,1.40,8.04
12,BN,Jaleel McLaughlin,Den,RB,14,5.80,7.14
12,BN,Geno Smith,Sea,QB,10,18.84,16.49
12,K,Jake Elliott,Phi,K,5,10.00,8.35
12,DEF,Buffalo,Buf,DEF,12,5.00,7.54
